Från (MHZ),Till (MHZ),"Mängd
(MHZ)",Populärnamn,Duplexband,Användning idag,Tilldelningsform,Planerad förändring
0,26,26,"Kortvåg/ Induktiva
överföringar",,"Sjöfartsradio Luftfartsradio
Landmobil radio Fast radio
Radionavigering &
lokalisering
Radioastronomi Rundradio
Amatörradio Privatradio
SRD MIL","SRD, amatörradio (upp till
200 W), privatradio m.m.
undantagna från
tillståndsplikt. Amatörradio
med högre effekt och övrig
användning enskilda
radiosändare.",
26,30,4,,,"Landmobil radio,
personsök - simplex SRD
(privatradio, radiostyrning,
telemetri, trådlösa
barnvaktssystem m.m.)
Amatörradio MIL","Enskilda radiosändare.
SRD och amatörradio (upp
till 200 W) undantagna från
tillståndsplikt.",
30,47,17,,,"Landmobil radio SRD
(radiostyrning, telemetri,
medicinska implantat
m.m.) Trådlösa mikrofoner
Radioastronomi MIL","Enskilda radiosändare.
Trådlösa mikrofoner och
SRD undantaget från
tillståndsplikt",
47,68,21,TV band I,,"Enbart 50-52 MHz
används för Amatörradio.
MIL","Amatörradio och SRD
undantaget från
tillståndsplikt.",
68,"87,50","19,50","LMR 80 MHz-
bandet",,"Landmobil radio - simplex
och duplex Bl.a. PMR,
blåljustjänster, polis,
räddningstjänst
Luftfartsradio
Radioastronomi",Enskilda radiosändare,
"87,50",108,"20,50",FM-radio,,"Rundradiosändningar via
FM P1-P6 Närradio
Kommersiell radio SRD
(lågeffekts FM-sändare)","Enskilda radiosändare P1-
P5 nationell basis Närradio
kommunbasis Kommersiell
radio enl.
Mediemyndighetens
koncessionsomr. SRD -
undantaget från
tillståndsplikt",
108,"117,98","9,98",,,Radionavigering för luftfart,Enskilda radiosändare,
"117,98",137,"19,02",VHF,,"Luftfartsradio, EPIRB, PLB,
ELT",Enskilda radiosändare,
137,138,1,,,"Satellit (TT&C, MSS
nedlänk) Skärmflyg - 137,1
MHz","Satellitanvändning styrs av
koordinering",
138,144,6,,,Landmobil radio MIL,"Enskilda radiosändare för
telemetri (El och VA)",
144,146,2,,,Amatörradio,"Amatörradio (upp till 200
W) undantaget från
tillståndsplikt. Enskilda
radiosändare för högre
effekt.",
146,162,16,VHF-båtar,,"Sjöfartsradio (även via
satellit) RR Ap 18,
Landmobil radio (PMR,
pejling, jord och skogsbruk
samt jakt),
Radioastronomi, TT&C
(short duration missions
148-148,9 MHz), MIL","Enskilda radiosändare
Pejling, jord- och
skogsbruk samt jakt
undantaget från
tillståndsplikt",
162,174,12,"LMR 160 MHz-
bandet",,"Landmobil radio - simplex
och duplex Sjöfartsradio
RR Ap 18 SRD del av
bandet (ospec.
användning,
hörselhjälpmedel,
trygghetslarm m.m.) MIL","Enskilda radiosändare
SRD undantaget från
tillståndsplikt i del av
bandet",
174,230,56,"VHF, Band III",,"Digital TV (DVB-T, DVB-
T2) Digital radio (T-DAB, T-
DAB+). Trådlös
ljudöverföring.","Enskilda radiosändare.
Hörselhjälpmedel i
173,965-216 MHz
undantaget från
tillståndsplikt",
230,240,10,Rundradio T-DAB,,"Frekvensbandet är en del
av Wi95revCO07, plan för
digital radio (T-DAB, T-
DAB+). EISCAT-
jonosfärforskning. Trådlös
ljudöverföring. MIL.",Enskilda radiosändare,
240,"328,60","88,60",UHF,,"Landmobil radio, SAR, MIL",Enskilda radiosändare,
"328,60","335,40","6,80",UHF,,Radionavigering för luftfart,Enskilda radiosändare,
"335,40",370,"34,60",UHF,,"Landmobil radio (SR
reportagelänkar) MIL",Enskilda radiosändare,
370,371,1,370 MHz-bandet,386-387,"Fast radio (smalbandig
simplex och duplex)",Enskilda radiosändare,
371,374,3,UHF,,MIL,,
374,376,2,370 MHz-bandet,387-389,MIL,,
376,380,4,UHF,,MIL,,
380,385,5,Rakel,390-395,Mobil radio (TETRA) Rakel,"För Rakel nationellt
blocktillstånd. I övrigt
enskilda radiosändare",
385,386,1,UHF,,MIL,,
386,387,1,370 MHz-bandet,370-371,"Fast radio (smalbandig
simplex och duplex)",Enskilda radiosändare,
387,389,2,370 MHz-bandet,374-376,MIL,,
389,390,1,UHF,,MIL,,
390,395,5,Rakel,380-385,Mobil radio (TETRA) Rakel,"För Rakel nationellt
blocktillstånd. I övrigt
enskilda radiosändare",
395,"399,90","4,90",UHF,,"Landmobil radio
Luftfartsradio MIL",,
"399,90",403,"3,10",,,"Satellit (MSS, TT&C,
Meterorologi),
Ballongburna radiosonder,
Meteorologi, Medicinska
implantat","Satellitanvändning styrs av
koordinering. SRD
undantaget från
tillståndsplikt",
403,"406,20","3,20",,,"Meteorologi (ballongburna
radiosonder). Medicinska
implantat. Landmobil radio
(405-405,9 MHz).
Nödfrekvens (405,9-406,2
MHz) ELT, EPIRB, PLB.","Enskilda radiosändare.
SRD undantaget från
tillståndsplikt",
"406,20",430,"23,80","LMR 400 MHz-
bandet (låga delen)",,"Landmobil radio - simplex
och duplex.","Enskilda radiosändare.
Larmsändare undantaget
från tillståndsplikt.",
430,432,2,430,440-442,"Fast radio (Telemetri),
SRD","Enskilda radiosändare.
Undantag från
tillståndsplikt.",
432,438,6,,,"Amatörradio, SRD","SRD och amatörradio (upp
till 200 W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
438,440,2,Telemetri bandet,,"Landmobil radio, Telemetri,
SRD","Enskilda radiosändare.
Undantag från
tillståndsplikt.",
440,442,2,430,430-432,Fast radio (Telemetri),Enskilda radiosändare,
442,450,8,"LMR 400 MHz-
bandet (höga
delen)",,"Landmobil radio, Telemetri
simplex och duplex, PMR
446.","Enskilda radiosändare.
PMR 446 m.fl. undantaget
från tillståndsplikt",
450,"452,50","2,50","LMR 450 MHz-
bandet","460-462,5","Landmobil radio - simplex
och duplex",Enskilda radiosändare,
"452,50","457,50",5,450 MHz-bandet,"462,5-467,5","Elektroniska
kommunikationstjänster
(MFCN), Landmobil radio
på NIB",Nationella blocktillstånd,
"457,50","462,50",5,"LMR 450 MHz-
bandet","467,5-470
450-452,5","Landmobil radio - simplex
och duplex, Sjöfartsradio
(ombordkommunikation)",Enskilda radiosändare,
"462,50","467,50",5,450 MHz-bandet,"452,5-457,5","Elektroniska
kommunikationstjänster
(MFCN), Landmobil radio
på NIB",Nationella blocktillstånd,
"467,50",470,"2,50","LMR 450 MHz-
bandet","457,5-460","Landmobil radio - simplex
och duplex, Sjöfartsradio
(ombordkommunikation)",Enskilda radiosändare,
470,694,224,UHF band IV/V,,"Digital-TV (DVB-T),
Trådlös ljudöverföring",Enskilda radiosändare,
694,703,9,700 MHz-bandet,,TOMT,Enskilda radiosändare,
703,713,10,700 MHz-bandet,,TOMT,,"Elektroniska
kommunikationstjänster
(MFCN)"
713,733,20,"700 MHz-
bandet/FDD upp",,"Elektroniska
kommunikationstjänster
(MFCN).",Blocktillstånd,
733,738,5,700 MHz-bandet,,TOMT,Enskilda radiosändare,
738,758,20,"700 MHz-
bandet/SDL",,TOMT,,
758,768,10,700 MHz-bandet,,TOMT,,"Elektroniska
kommunikationstjänster
(MFCN)"
768,788,20,"700 MHz-
bandet/FDD ned",,"Elektroniska
kommunikationstjänster
(MFCN)",Blocktillstånd,
788,790,2,700 MHz-bandet,,TOMT,Enskilda radiosändare,
790,791,1,,,TOMT,,
791,821,30,800 MHz-bandet,832-862,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,
821,832,11,"800 MHz-bandet
mittlucka",,"Trådlös PMSE-
ljudutrustning och
hörseltekniska hjälpmedel","Undantaget från
tillståndsplikt",
832,862,30,800 MHz-bandet,791-823,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,
862,863,1,,,SRD,"Undantag från
tillståndsplikt",
863,870,7,SRD-800,,"SRD (Trådlös PMSE-
ljudutrustning, RFID
datanät m.m.)","Undantaget från
tillståndsplikt",
870,"874,40","4,40",870 MHz-bandet,,"Tillståndspliktig och
undantagen SRD,
Dataöverföring","Telemetri och radiostyrning
undantaget från
tillståndsplikt för 870,5375-
870,6625 MHz.
Enskilda radiosändare och
blocktillstånd (nationellt,
regionalt eller lokalt) med
villkor enligt ERC/REC 70-
03 - delning.",
"874,40",876,"1,60",Extended GSM-R,"919,4-921",TOMT,,"Framtida järnvägssystem
(FRMCS)"
876,880,4,GSM-R 900,921-925,"Järnvägskommunikation
(GSM-R)",Blocktillstånd,"Migrering från GSM-R till
FRMCS.
Bandet utköas till 874,4-
880 MHz."
880,915,35,900 MHz-bandet,925-960,"Elektroniska
kommunikationstjänster
(MFCN).","Nationella blocktillstånd.
Mobil kommunikation
(GSM) på
svenskregistrerade fartyg
undantaget från
tillståndsplikt.","Nya tillstånd fördelades
genom auktion i slutet av
2023. De nya tillstånden
träder i kraft 2026-01-01."
915,"919,40","4,40",915 MHz-bandet,,"Tillståndspliktig SRD,
RFID, Dataöverföring","Enskilda radiosändare och
blocktillstånd (nationellt,
regionalt eller lokalt) med
villkor enligt ERC/REC 70-
03 - delning",
"919,40",921,"1,60",Extended GSM-R,"874,4-876",TOMT,,"Framtida järnvägssystem
(FRMCS)"
921,925,4,GSM-R 900,876-880,"Järnvägskommunikation
(GSM-R)",Blocktillstånd,"Migrering från GSM-R till
FRMCS
Bandet utökas till 919,4-
925 MHz."
925,960,35,900 MHz-bandet,880-915,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,"Nya tillstånd fördelades
genom auktion i slutet av
2023. De nya tillstånden
träder i kraft 2026-01-01."
960,1164,204,,,"Radionavigering för luftfart,
Luftfartsradio (SSR, DME),
GFT (ADS-B), MIL",Enskilda radiosändare,
1164,1215,51,"GALILEO/GPS/
GLONASS",,"Radionavigering för
luftfart,Satellitnavigering
(Galileo), MIL","Enskilda radiosändare
Satellitanvändning styrs av
koordinering",
1215,1240,25,GPS,,"Radiolokalisering
Satellitnavigering (GPS)","Satellitanvändning styrs av
koordinering",
1240,1300,60,"GLONASS/
GALILEO",,"Radiolokalisering
Satellitnavigering (Galileo)
Amatörradio","Satellitanvändning styrs av
koordinering. Undantag
från tillståndsplikt för
amatörradio (upp till 200
W). Enskilda radiosändare
för amatörradio med högre
effekt.",
1300,1350,50,L-band,,"Radiolokalisering,
Radioastronomi, Mobil
videolänk, MIL",Enskilda radiosändare,
